City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
237,Mbandaka,CD,0.0487,18.2603,71.51,73,75,2.17,broken clouds
238,Vodnyy,RU,63.5046,53.4095,59.76,94,91,6.89,overcast clouds
239,Neuquen,AR,-38.9516,-68.0591,49.89,62,41,0.0,scattered clouds
240,Asheboro,US,35.7079,-79.8136,78.01,88,75,4.61,broken clouds
241,Mokshan,RU,53.4365,44.6132,67.55,89,80,5.86,broken clouds
242,Reading,GB,51.4562,-0.9711,70.75,85,0,4.61,clear sky
243,Paraopeba,BR,-19.2757,-44.4033,69.35,16,0,5.79,clear sky
244,Vila Velha,BR,-20.3297,-40.2925,66.15,94,90,12.66,overcast clouds
245,Balkany,HU,47.7707,21.8631,67.6,92,81,6.98,broken clouds
246,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,88,87,10.65,overcast clouds
247,Vardo,NO,70.3705,31.1107,44.83,76,99,14.88,overcast clouds
248,Meybod,IR,32.2501,54.0166,84.63,22,8,8.84,clear sky
249,Mgandu,TZ,-5.95,34.1333,55.76,48,4,6.64,clear sky
250,Irece,BR,-11.3042,-41.8558,72.55,44,0,9.62,clear sky
251,Bonavista,CA,48.6499,-53.1147,69.8,78,96,14.12,overcast clouds
252,Choya,RU,52.0108,86.5467,59.09,97,17,2.24,few clouds
253,Riyadh,SA,24.6877,46.7219,95.14,43,89,5.14,overcast clouds
254,Gaoual,GN,11.75,-13.2,76.44,93,62,4.65,broken clouds
255,Puerto Ayacucho,VE,5.6639,-67.6236,73.33,92,75,0.6,moderate rain
256,Garissa,KE,-0.4536,39.6401,73.17,79,73,13.91,broken clouds
257,Mendi,PG,-6.1761,143.6513,64.83,75,70,2.89,broken clouds
258,Kristinehamn,SE,59.3098,14.1081,58.37,70,100,11.34,overcast clouds
259,Pangnirtung,CA,66.1451,-65.7125,41.25,98,100,4.52,light rain
260,Andenes,NO,69.3143,16.1194,43.07,87,90,21.85,light rain
261,Bad Freienwalde,DE,52.7873,14.0304,64.33,72,79,3.0,broken clouds
262,Raudeberg,NO,61.9875,5.1352,56.19,83,100,18.72,overcast clouds
263,Anori,BR,-3.7728,-61.6442,79.36,74,57,1.48,broken clouds
